source	edgeType	target	Cond1	Cond2	Cond3	Cond4
R_PFK	consumes	M_atp_c	0.28702377	0.0240529	-0.10935609	0.0243078
R_PFK	consumes	M_f6p_c	0.28702377	0.0240529	-0.10935609	0.0243078
R_PFK	produces	M_adp_c	0.28702377	0.0240529	-0.10935609	0.0243078
R_PFK	produces	M_fdp_c	0.28702377	0.0240529	-0.10935609	0.0243078
R_PFK	produces	M_h_c	0.28702377	0.0240529	-0.10935609	0.0243078
Pfkm	catalyzes	R_PFK	0.28702377	0.0240529	-0.10935609	0.0243078
Pfkp	catalyzes	R_PFK	0.28702377	0.0240529	-0.10935609	0.0243078
Pfkl	catalyzes	R_PFK	0.28702377	0.0240529	-0.10935609	0.0243078
R_PGI	consumes	M_g6p_c	-0.126697681	-0.205914568	-0.231276679	-0.231462694
R_PGI	produces	M_f6p_c	-0.126697681	-0.205914568	-0.231276679	-0.231462694
Gpi	catalyzes	R_PGI	-0.126697681	-0.205914568	-0.231276679	-0.231462694
R_PGK	consumes	M_3pg_c	0.58022176	0.60692204	-0.06763725	0.07723468
R_PGK	consumes	M_atp_c	0.58022176	0.60692204	-0.06763725	0.07723468
R_PGK	produces	M_13dpg_c	0.58022176	0.60692204	-0.06763725	0.07723468
R_PGK	produces	M_adp_c	0.58022176	0.60692204	-0.06763725	0.07723468
Pgk1	catalyzes	R_PGK	0.58022176	0.60692204	-0.06763725	0.07723468
Pgk2	catalyzes	R_PGK	0.58022176	0.60692204	-0.06763725	0.07723468
R_PGM	consumes	M_2pg_c	0.58022176	0.60692204	-0.06763725	0.07723468
R_PGM	produces	M_3pg_c	0.58022176	0.60692204	-0.06763725	0.07723468
Bpgm	catalyzes	R_PGM	0.58022176	0.60692204	-0.06763725	0.07723468
Pgam1	catalyzes	R_PGM	0.58022176	0.60692204	-0.06763725	0.07723468
Pgam2	catalyzes	R_PGM	0.58022176	0.60692204	-0.06763725	0.07723468
R_PGMT	consumes	M_g1p_c	0.00001	0.00001	0.00001	0.00001
R_PGMT	produces	M_g6p_c	0.00001	0.00001	0.00001	0.00001
Pgm1	catalyzes	R_PGMT	0.00001	0.00001	0.00001	0.00001
Pgm2	catalyzes	R_PGMT	0.00001	0.00001	0.00001	0.00001
R_PYK	consumes	M_adp_c	0.171150531	0.040335324	0.014909165	0.025678277
R_PYK	consumes	M_h_c	0.171150531	0.040335324	0.014909165	0.025678277
R_PYK	consumes	M_pep_c	0.171150531	0.040335324	0.014909165	0.025678277
R_PYK	produces	M_atp_c	0.171150531	0.040335324	0.014909165	0.025678277
R_PYK	produces	M_pyr_c	0.171150531	0.040335324	0.014909165	0.025678277
Pkm	catalyzes	R_PYK	0.171150531	0.040335324	0.014909165	0.025678277
Pklr	catalyzes	R_PYK	0.171150531	0.040335324	0.014909165	0.025678277
R_TPI	consumes	M_dhap_c	0.29852455	0.03541501	-0.09814427	0.02153954
R_TPI	produces	M_g3p_c	0.29852455	0.03541501	-0.09814427	0.02153954
Tpi1	catalyzes	R_TPI	0.29852455	0.03541501	-0.09814427	0.02153954
R_HEX1	consumes	M_atp_c	0.00001	0.00001	0.00001	0.00001
R_HEX1	consumes	M_glc_D_c	0.00001	0.00001	0.00001	0.00001
R_HEX1	produces	M_adp_c	0.00001	0.00001	0.00001	0.00001
R_HEX1	produces	M_g6p_c	0.00001	0.00001	0.00001	0.00001
R_HEX1	produces	M_h_c	0.00001	0.00001	0.00001	0.00001
Hk1	catalyzes	R_HEX1	0.00001	0.00001	0.00001	0.00001
Hk2	catalyzes	R_HEX1	0.00001	0.00001	0.00001	0.00001
Hk3	catalyzes	R_HEX1	0.00001	0.00001	0.00001	0.00001
Gck	catalyzes	R_HEX1	0.00001	0.00001	0.00001	0.00001
